company,subject,issue,expected_response,generated_response,strategy_used,expected_request_type,predicted_request_type,request_type_accuracy,expected_product_area,predicted_product_area,product_area_accuracy,expected_status,predicted_status,status_accuracy,retrieval_required,normalized_issue,normalized_subject,routing_reason,routing_confidence,latency,num_chunks,ragas_context_precision,ragas_context_recall,ragas_faithfulness,ragas_answer_correctness,ragas_answer_relevancy
HackerRank,Test Active in the system,I notice that people I assigned the test in October of 2025 have not received new tests. How long do the tests stay active in the system.,"Hi,


Tests in HackerRank remain active indefinitely unless a start and end time are set. 
Without these, tests do not expire automatically.



To set expiration times, specify a start and end date/time in the test settings. After expiration:

Invited candidates cannot access the test.
The ""Invite"" button is disabled; no new invitations can be sent.


To check or change expiration settings:

Go to the test's Settings and select the General section.
Update the Start date & time and End date & time fields as needed.
To keep the test active indefinitely, clear these fields by clicking the clear icon (X).


If the test has an expiration set, adjust these settings to enable new invitations.","By default, test invitations remain active indefinitely unless a specific expiry date and time are set. You can control when a test remains active by defining a start and end time. After the test expires, invited candidates cannot access it, the 'Invite' button will be disabled, and you will not be able to invite new candidates.

To set an expiration date:
1. Click the **Expiry** dropdown.
2. Select an expiry option from the list.
   - If you choose **Custom**, select the expiry date, time, and time zone, and then click **Save.**

Alternatively, you can set custom invite expiration directly at the test level by defining a specific end date or a custom duration.

Please refer to this support article for the detailed steps: https://support.hackerrank.com/articles/6027855406-inviting-candidates-to-a-test",google_gemini-2.5-flash-lite_hybrid_flashrank_10,product_issue,product_issue,1,screen,screen,1,Replied,Replied,1,True,How long do tests remain active in the system for users assigned in October 2025?,Test active duration in the system,"The user is asking a question about the duration tests remain active in the HackerRank system, which requires documentation retrieval.",0.95,18.203604800015455,10,0.74999999998125,1.0,0.9333333333333333,0.5395749303560144,0.7497832844671781
None,,site is down & none of the pages are accessible,Escalate to a human,Escalate to a human,google_gemini-2.5-flash-lite_hybrid_flashrank_10,bug,bug,1,,,1,Escalated,Escalated,1,False,site is down & none of the pages are accessible,,Unsupported company: None.,1.0,1.5878203999891412,0,,,,,
HackerRank,"When should I create a variant versus
 have a different test?","I'm noticing that you all have many default versions of roles. (e.g. front end developer for react, angular, vue.js, etc.) What do you consider best practice 
for when to create a new test versus create a variant of the test? What are the advantages and disadvantages of using variants?","Hi,


Consider these guidelines when choosing between creating a new test or a variant:



When to Use Test Variants:

Create variants to adapt a single test to different candidate profiles, 
such as roles with different tech stacks (React, Angular, Vue.js).
Variants streamline assessments by showing candidates only relevant sections and generating role-specific reports.


Advantages of Test Variants:

Reduces the need to manage multiple tests, improving efficiency.
Decreases maintenance while allowing scalable personalization.
Ensures candidates are tested on relevant content.


Disadvantages and Limitations of Test Variants:

A test must have at least two variants to function; you cannot delete a variant if only two exist.
Variants without logic are hidden from candidates until logic is added.","Test variants allow you to create a single assessment that adapts to different candidate profiles. You can design multiple variants within the same assessment to personalize the evaluation based on roles, skills, or other criteria. This approach eliminates the need to manage separate tests, improves efficiency, and ensures candidates are assessed on the most relevant content.

Advantages of using test variants include:
*   **Personalized Evaluation:** Tailor assessments to specific roles, skills, or criteria.
*   **Efficiency:** Avoid managing multiple separate tests.
*   **Relevant Content:** Ensure candidates are assessed on the most appropriate material.
*   **Streamlined Setup:** Assess candidates working with different tech stacks (e.g., Node.js, Python, Java) using a single test setup.
*   **Clean Insights:** Reports reflect only the variant attempted, keeping insights role-specific and easy to evaluate.
*   **Reduced Maintenance:** Lower overhead by managing one test with multiple variations.
*   **Informed Decisions:** Candidates see helpful subtext for each variant, providing context before they attempt the test.

Disadvantages and limitations of using variants:
*   A variant-based test requires at least two variants.

For more information, please refer to the following articles: https://support.hackerrank.com/articles/7530103378-test-variants, https://support.hackerrank.com/articles/3121307537-july-2025-release-notes, https://support.hackerrank.com/articles/8474307750-october-2025-release-notes",google_gemini-2.5-flash-lite_hybrid_flashrank_10,product_issue,product_issue,1,screen,screen,1,Replied,Replied,1,True,"Customer is asking for best practices on when to create a new test versus create a variant of the test, and the advantages and disadvantages of using variants. They noticed many default versions of roles on HackerRank.",When to create a variant versus a different test,"Customer is asking for best practices on creating new tests versus variants in HackerRank, and the advantages/disadvantages of using variants. This requires product-specific documentation.",0.95,14.075960600021062,8,0.7916666666402777,0.5454545454545454,0.9333333333333333,0.8277411768937273,0.7912617883962015
HackerRank,"How to reinvite candidate to Hackerrank 
assessment and add extra time","Hi there

We have sent a candidate a Hackerrank assessment already, but we have been informed that they require extra time. As the assessment is 105 minutes, they need an extra 50% extra time added (so around 53 minutes) in addition.

Please can you provide step-by-step instruction on how we are to reinvite them.

Do we find their profile in 'Candidates' , put in Add time 53 minutes and then click 'reinvite' and send the email? The email to the candidate says 105 minutes as the duration though still so not sure how we can check?

Thanks","Log in to your HackerRank for Work account using your credentials.
Go to the Tests tab. 
Select the test you want to modify.
Go to the Candidates tab.
Select the checkbox next to the candidate(s) you want to accommodate time.
Click More > Add Time Accommodation. 
Enter the accommodation percentage in multiples of five.
Click Save. A success message appears.

Time accommodation can also be added before the invite has been sent. Please refer to this support article for the detailed steps : https://support.hackerrank.com/articles/4811403281-adding-extra-time-for-candidates","To reinvite a candidate and add extra time to a HackerRank assessment, follow these steps:

1. Log in to your HackerRank for Work account.
2. Navigate to the **Tests** tab.
3. Select the test you wish to modify.
4. Go to the **Candidates** tab.
5. Select the checkbox next to the candidate you want to reinvite.
6. Click **More > Add Time Accommodation**.
7. Enter the accommodation percentage in multiples of five. For your request, this would be 50%.
8. Click **Save**. A success message will appear.
9. After applying time accommodation, the updated duration will appear in the test invite email and on the test landing page before the candidate starts the test.

To complete the reinvitation process:

1. With the candidate still selected in the **Candidates** tab, click **Invite selected**.
2. In the **Send Test Invites** section, click **Send invite**.
3. A confirmation message will appear indicating that the candidate has already attempted the test.
4. Click **Re-invite** to send the test invitation again.
5. Click **Send invite** to complete the reinvitation process.

https://support.hackerrank.com/articles/1002936098-reinviting-candidates-to-a-test
https://support.hackerrank.com/articles/4811403281-adding-extra-time-for-candidates",google_gemini-2.5-flash-lite_hybrid_flashrank_10,product_issue,product_issue,1,screen,screen,1,Replied,Replied,1,True,"Customer needs step-by-step instructions on how to reinvite a candidate to a HackerRank assessment and add extra time (50% more, approximately 53 minutes). They are unsure if the process involves finding the candidate, adding time, reinviting, and how to verify the updated duration shown in the email.",How to reinvite candidate to HackerRank assessment and add extra time,Customer is asking for a how-to guide on modifying assessment time and reinviting a candidate on HackerRank.,0.95,12.572975100018084,9,0.22499999998875,1.0,0.8095238095238095,0.6535588625305495,0.8545912198008028
HackerRank,,"i signed up using google login on hackerrank community , so i do not have a separate hackerrank password. please delete my account","To delete your HackerRank account created via Google login, first set a password for your account, as Google login accounts do not have one by default.

Follow these steps to set a password and delete your account:

Go to the HackerRank login page and click ""Forgot your password?""
Enter the email linked to your Google login and follow the instructions to reset and set a new password.
Log in to your HackerRank account using the new password.
Click your profile icon in the top-right corner and select Settings.
Scroll to the Delete Accounts section.
Click Delete Account and follow the prompts, entering your new password to confirm.

Deleting your account will permanently remove all data and cannot be undone.","To delete your HackerRank Community account that was created using Google login, you need to set a password first. HackerRank does not store a separate password for accounts created with third-party providers like Google. You can set a password by following the steps in the 'Resetting password' documentation. Once a password is set, you can proceed with deleting your account by logging into the HackerRank Community, navigating to Settings > Account > Delete Accounts, and following the on-screen prompts. Please note that deleting your account permanently removes all your data and cannot be recovered. If you cannot access your Google account or encounter any issues, please contact HackerRank support at help@hackerrank.com.

https://help.hackerrank.com/articles/5618101592-delete-an-account
https://help.hackerrank.com/articles/2403570133-update-or-reset-password",google_gemini-2.5-flash-lite_hybrid_flashrank_10,product_issue,product_issue,1,community,community,1,Replied,Replied,1,True,"request to delete HackerRank account created via Google login, as no separate password exists",account deletion request,"User is requesting account deletion for HackerRank, which requires specific procedures or documentation.",0.9,12.21368319998146,10,0.4777777777618519,1.0,1.0,0.6631592213057558,0.8605252664912642
Claude,,"One of my claude conversations has some private info, i forgot to make a temporary chat, is there anything
 else that can be done? like delete etc?","To delete an individual conversation:

1. Navigate to the conversation you want to delete.

2. Click on the name of the conversation at the top of the screen.

3. Select either ""Delete"" from the options that appear:



https://privacy.claude.com/en/articles/11117329-how-can-i-delete-or-rename-a-conversation","You can delete your chats to remove them from your visible history. For Team and Enterprise plans, while prompts and conversations are maintained for your history, you have the ability to delete them. Enterprise plan customers also have the option to set custom retention timelines for their organization's data. If you wish to prevent sensitive information from being saved in the future, you can use incognito chats, which are temporary conversations not saved to your chat history. You can enable incognito chats by clicking the ghost icon in the upper right corner of your screen when starting a new chat outside of a project. Please note that if you are using an Enterprise or Team plan account, incognito chats are included in standard data exports and follow your organization's data retention policies.

For more details on deleting conversations, please refer to: https://support.claude.com/en/articles/8230524-how-can-i-delete-or-rename-a-conversation",google_gemini-2.5-flash-lite_hybrid_flashrank_10,product_issue,product_issue,1,privacy,claude,0,Replied,Replied,1,True,customer wants to know how to delete private information from a claude conversation because they forgot to make a temporary chat.,claude conversation privacy,Customer is asking how to delete private information from a Claude conversation.,0.95,11.414845500024967,9,0.24206349205542327,0.4,1.0,0.411061076879206,0.7698332039651643
None,"Urgent, please help",What is the name of the actor in Iron Man?,"I am sorry, this is out of scope from my capabilities","I am sorry, this is out of scope from my capabilities",google_gemini-2.5-flash-lite_hybrid_flashrank_10,invalid,invalid,1,conversation_management,conversation_management,1,Replied,Replied,1,False,What is the name of the actor in Iron Man?,"Urgent, please help",Unsupported company: None.,1.0,1.5938844999764115,0,,,,,
Visa,,I bought Visa Traveller's Cheques from Citicorp and they were stolen in Lisbon last night. What do I do?,"Call the issuer (Citicorp) immediately. 
Freephone 1-800-645-6556 or collect 1-813-623-1709, Mon–Fri 6:30 am–2:30 pm EST. 

Automated cheque verification is available 24/7 in English/Spanish; outside Citicorp's hours your call is recorded and returned the next business day.

Have this info ready before you call, it's what the issuer will ask: cheque serial numbers, where and when you bought the cheques, how/when they were lost or stolen, and the issuer name (Citicorp). 

Refunds can typically be arranged within 24 hours, subject to T&Cs.
Notify the local police in Lisbon (Visa's safety guidance for lost/stolen cheques).
If you can't reach Citicorp, use Visa's traveller's-cheque contact form on visa.co.in.","If your Visa Traveller's Cheques are lost or stolen, you should notify the police. For assistance with your Citicorp-issued Visa Traveller's Cheques, you can contact Citicorp directly:

- Freephone: 1-800-645-6556
- Collect: 1-813-623-1709

Customer service representatives are available Monday-Friday, 6:30 am to 2:30 pm EST. Automated cheque verification is available 24 hours a day, 7 days a week. Calls outside of business hours will be recorded and responded to the next business day.

Please refer to this support article for more details: https://www.visa.co.in/support/consumer/travelers-cheques.html",google_gemini-2.5-flash-lite_hybrid_flashrank_10,product_issue,product_issue,1,travel_support,travel_support,1,Replied,Replied,1,True,What do I do after my Visa Traveller's Cheques were stolen?,Stolen Visa Traveller's Cheques,Customer is asking for a procedure to follow after their Visa Traveller's Cheques were stolen.,0.95,10.2401018999808,7,0.8333333332916666,0.5714285714285714,0.8888888888888888,0.7522335078421905,0.8232668023092314
Visa,Card stolen,Where can I report a lost or stolen Visa card from India?,"Call Visa India at 000-800-100-1219 to report a lost card. 

From anywhere else in the world, Visa's Global Customer Assistance Service is reachable 24/7 at +1 303 967 1090 and can block your card within ~30 minutes of being reported, plus arrange emergency cash and a replacement card","To report a lost or stolen Visa card from India, you can call Visa at 000-800-100-1219. You can also visit the [Lost or Stolen card](/support/consumer/lost-stolen-card.html) page on the Visa website. The support team can assist you with reporting and blocking your card, and may provide emergency services if applicable. It is also recommended to keep a record of your card account number and the telephone number for Visa Global Customer Assistance Services (GCAS) for the country you are travelling to, and to inform your bank about your travel plans so your card is not flagged for unusual activity. Please refer to this support article for the detailed steps : https://www.visa.co.in/support.html",google_gemini-2.5-flash-lite_hybrid_flashrank_10,product_issue,product_issue,1,general_support,general_support,1,Replied,Replied,1,True,Where can I report a lost or stolen Visa card from India?,Card stolen,Customer is asking for a procedure related to a Visa product.,0.95,10.068610999995144,6,0.0,0.5,0.0,0.3369696587919391,0.8835140958692078
None,,Thank you for helping me,Happy to help,Happy to help,google_gemini-2.5-flash-lite_hybrid_flashrank_10,invalid,invalid,1,,,1,Replied,Replied,1,False,Thank you for helping me,,Unsupported company: None.,1.0,1.4077933999942616,0,,,,,
