company,subject,issue,request_type_accuracy,status_accuracy,product_area_accuracy,answer_correctness,faithfulness,judge_reasoning,latency,num_chunks,token_estimate
HackerRank,Test Active in the system,I notice that people I assigned the test in October of 2025 have not received new tests. How long do the tests stay active in the system.,1,1,1,1.0,0.8,"The generated answer correctly states that tests remain active indefinitely by default and explains how to set expiration dates. However, it misses the detail that the 'Expiry' option defaults to 'Never' and that clearing the start and end date/time fields also keeps the test active indefinitely.",5.634544134140015,10,1420
nan,nan,site is down & none of the pages are accessible,1,1,0,1.0,1.0,"The generated answer perfectly matches the ground truth, indicating high faithfulness.",4.534057140350342,0,0
HackerRank,"When should I create a variant versus
 have a different test?","I'm noticing that you all have many default versions of roles. (e.g. front end developer for react, angular, vue.js, etc.) What do you consider best practice 
for when to create a new test versus create a variant of the test? What are the advantages and disadvantages of using variants?",1,1,1,1.0,0.8,"The generated answer is mostly faithful to the ground truth and retrieved context. It accurately captures the advantages and disadvantages of test variants. However, it misses the specific guideline about when to create a new test versus a variant, which was explicitly asked in the user's question.",5.724265813827515,8,1353
HackerRank,"How to reinvite candidate to Hackerrank 
assessment and add extra time","Hi there

We have sent a candidate a Hackerrank assessment already, but we have been informed that they require extra time. As the assessment is 105 minutes, they need an extra 50% extra time added (so around 53 minutes) in addition.

Please can you provide step-by-step instruction on how we are to reinvite them.

Do we find their profile in 'Candidates' , put in Add time 53 minutes and then click 'reinvite' and send the email? The email to the candidate says 105 minutes as the duration though still so not sure how we can check?

Thanks",1,1,1,0.4,0.4,"The answer provides some correct steps but misses crucial details. It suggests entering a percentage for accommodation, but the ground truth and retrieved context indicate that for a specific time addition (like 53 minutes), entering the time in minutes is the correct approach, not a percentage. The answer also doesn't clearly address the user's concern about checking the updated duration in the email.",5.488220930099487,10,2210
HackerRank,nan,"i signed up using google login on hackerrank community , so i do not have a separate hackerrank password. please delete my account",1,1,1,0.8,0.0,The generated answer incorrectly states that a password needs to be set for a Google login account. The retrieved context explicitly states that HackerRank does not store a separate password for accounts created via Google login and provides alternative steps for users who cannot access their Google account.,5.333883285522461,10,1493
Claude,nan,"One of my claude conversations has some private info, i forgot to make a temporary chat, is there anything
 else that can be done? like delete etc?",1,1,1,1.0,0.0,"The retrieved context does not contain information about deleting individual conversations. It only provides instructions for deleting multiple conversations at once. The ground truth, which is not part of the retrieved context, contains the correct information.",4.328177452087402,10,1173
None,"Urgent, please help",What is the name of the actor in Iron Man?,1,1,1,0.0,1.0,"The generated answer correctly states that the question is out of scope, aligning with the ground truth. The retrieved context does not contain any information about the actor in Iron Man, thus the model cannot answer the question based on the provided context.",4.065744161605835,10,2621
Visa,nan,I bought Visa Traveller's Cheques from Citicorp and they were stolen in Lisbon last night. What do I do?,1,1,1,0.8,0.6,"The generated answer is mostly faithful to the ground truth and the retrieved context. However, it misses the crucial first step of calling the issuer immediately. It also includes a URL that is not present in the provided context.",4.586230993270874,10,1714
Visa,Card stolen,Where can I report a lost or stolen Visa card from India?,1,1,1,0.6,0.8,"The answer provides the correct phone number for reporting a lost or stolen Visa card from India (000-800-100-1219). However, it omits the crucial information about Visa's Global Customer Assistance Service for reporting from anywhere else in the world and the details about emergency cash and replacement cards, which are present in the ground truth.",4.466937780380249,10,1520
nan,nan,Thank you for helping me,1,1,0,1.0,1.0,The generated answer is identical to the ground truth and is therefore perfectly faithful to it.,3.254338264465332,0,0
