company,category,file_name,relative_path,characters,words
claude,root,index.md,claude\index.md,44554,2838
hackerrank,root,index.md,hackerrank\index.md,64027,4404
visa,root,index.md,visa\index.md,1021,81
visa,root,support.md,visa\support.md,11679,2230
claude,amazon-bedrock,10280779-how-do-i-learn-more-about-amazon-and-anthropic-s-strategic-collaboration.md,claude\amazon-bedrock\10280779-how-do-i-learn-more-about-amazon-and-anthropic-s-strategic-collaboration.md,1474,106
claude,amazon-bedrock,10280783-where-do-i-find-claude-in-amazon-bedrock-documentation.md,claude\amazon-bedrock\10280783-where-do-i-find-claude-in-amazon-bedrock-documentation.md,1333,94
claude,amazon-bedrock,10280791-what-aws-regions-are-claude-models-available-in-amazon-bedrock.md,claude\amazon-bedrock\10280791-what-aws-regions-are-claude-models-available-in-amazon-bedrock.md,1412,107
claude,amazon-bedrock,7996918-what-is-amazon-bedrock.md,claude\amazon-bedrock\7996918-what-is-amazon-bedrock.md,2132,220
claude,amazon-bedrock,7996920-how-do-i-get-access-to-claude-in-amazon-bedrock.md,claude\amazon-bedrock\7996920-how-do-i-get-access-to-claude-in-amazon-bedrock.md,1569,119
claude,amazon-bedrock,7996921-i-use-claude-in-amazon-bedrock-who-do-i-contact-for-customer-support-inquiries.md,claude\amazon-bedrock\7996921-i-use-claude-in-amazon-bedrock-who-do-i-contact-for-customer-support-inquiries.md,1986,196
claude,claude,12138966-release-notes.md,claude\claude\12138966-release-notes.md,26747,3169
claude,claude-code,11145838-using-claude-code-with-your-max-plan.md,claude\claude-code\11145838-using-claude-code-with-your-max-plan.md,6904,920
claude,claude-code,11845131-use-claude-code-with-your-team-or-enterprise-plan.md,claude\claude-code\11845131-use-claude-code-with-your-team-or-enterprise-plan.md,5376,687
claude,claude-code,11932705-automated-security-reviews-in-claude-code.md,claude\claude-code\11932705-automated-security-reviews-in-claude-code.md,5705,681
claude,claude-code,11940350-claude-code-model-configuration.md,claude\claude-code\11940350-claude-code-model-configuration.md,4424,507
claude,claude-code,12157520-claude-code-usage-analytics.md,claude\claude-code\12157520-claude-code-usage-analytics.md,7466,960
claude,claude-code,12304248-managing-api-key-environment-variables-in-claude-code.md,claude\claude-code\12304248-managing-api-key-environment-variables-in-claude-code.md,5004,593
claude,claude-code,12386420-claude-code-faq.md,claude\claude-code\12386420-claude-code-faq.md,10472,1354
claude,claude-code,12618689-claude-code-on-the-web.md,claude\claude-code\12618689-claude-code-on-the-web.md,11964,1656
claude,claude-code,14233555-set-up-code-review-for-claude-code.md,claude\claude-code\14233555-set-up-code-review-for-claude-code.md,11464,1590
claude,claude-for-education,11139094-getting-started-with-claude-for-education-at-your-university-for-owners-admins.md,claude\claude-for-education\11139094-getting-started-with-claude-for-education-at-your-university-for-owners-admins.md,6012,558
claude,claude-for-education,11139144-faqs-on-using-claude-for-education-at-your-university.md,claude\claude-for-education\11139144-faqs-on-using-claude-for-education-at-your-university.md,8659,942
claude,claude-for-education,11725453-set-up-the-claude-lti-in-canvas-by-instructure.md,claude\claude-for-education\11725453-set-up-the-claude-lti-in-canvas-by-instructure.md,4047,417
claude,claude-for-education,11732894-who-owns-and-manages-the-data-of-my-claude-for-education-account.md,claude\claude-for-education\11732894-who-owns-and-manages-the-data-of-my-claude-for-education-account.md,4205,480
claude,claude-for-government,14503590-get-started-with-claude-for-government.md,claude\claude-for-government\14503590-get-started-with-claude-for-government.md,5409,657
claude,claude-for-government,14503613-sso-login.md,claude\claude-for-government\14503613-sso-login.md,7296,839
claude,claude-for-government,14503643-set-up-scim-in-claude-for-government.md,claude\claude-for-government\14503643-set-up-scim-in-claude-for-government.md,6812,765
claude,claude-for-government,14503675-organization-preferences-in-claude-for-government.md,claude\claude-for-government\14503675-organization-preferences-in-claude-for-government.md,5233,622
claude,claude-for-government,14503689-mcp-connectors.md,claude\claude-for-government\14503689-mcp-connectors.md,6843,877
claude,claude-for-government,14503703-mcp-individual-connectors.md,claude\claude-for-government\14503703-mcp-individual-connectors.md,3796,414
claude,claude-for-government,14503775-mcp-web-search.md,claude\claude-for-government\14503775-mcp-web-search.md,5512,687
claude,claude-for-government,14503794-model-availability-in-claude-for-government.md,claude\claude-for-government\14503794-model-availability-in-claude-for-government.md,4317,545
claude,claude-for-government,14503804-classification-banner-in-claude-for-government.md,claude\claude-for-government\14503804-classification-banner-in-claude-for-government.md,3109,366
claude,claude-for-nonprofits,12893767-getting-started-with-claude-for-nonprofits.md,claude\claude-for-nonprofits\12893767-getting-started-with-claude-for-nonprofits.md,18646,2223
claude,claude-for-nonprofits,12923221-using-the-blackbaud-connector-in-claude.md,claude\claude-for-nonprofits\12923221-using-the-blackbaud-connector-in-claude.md,7102,913
claude,claude-for-nonprofits,12923227-using-the-benevity-connector-in-claude.md,claude\claude-for-nonprofits\12923227-using-the-benevity-connector-in-claude.md,5597,704
claude,claude-for-nonprofits,12923235-using-the-candid-connector-in-claude.md,claude\claude-for-nonprofits\12923235-using-the-candid-connector-in-claude.md,16163,2177
claude,claude-for-nonprofits,12923668-claude-for-nonprofits-partnership-success-guide-for-admins.md,claude\claude-for-nonprofits\12923668-claude-for-nonprofits-partnership-success-guide-for-admins.md,5121,556
claude,claude-for-nonprofits,12923901-claude-for-nonprofits-partnership-guide-for-all-users.md,claude\claude-for-nonprofits\12923901-claude-for-nonprofits-partnership-guide-for-all-users.md,4558,549
claude,claude-in-chrome,12012173-get-started-with-claude-in-chrome.md,claude\claude-in-chrome\12012173-get-started-with-claude-in-chrome.md,9692,1231
claude,claude-in-chrome,12902405-claude-in-chrome-troubleshooting.md,claude\claude-in-chrome\12902405-claude-in-chrome-troubleshooting.md,4673,584
claude,claude-in-chrome,12902428-using-claude-in-chrome-safely.md,claude\claude-in-chrome\12902428-using-claude-in-chrome-safely.md,9229,1204
claude,claude-in-chrome,12902446-claude-in-chrome-permissions-guide.md,claude\claude-in-chrome\12902446-claude-in-chrome-permissions-guide.md,8272,1006
