company,subject,issue,expected_response,generated_response,strategy_used,expected_request_type,predicted_request_type,request_type_accuracy,expected_product_area,predicted_product_area,product_area_accuracy,expected_status,predicted_status,status_accuracy,retrieval_required,normalized_issue,normalized_subject,routing_reason,routing_confidence,latency,num_chunks,ragas_context_precision,ragas_context_recall,ragas_faithfulness,ragas_answer_correctness,ragas_answer_relevancy,billing_total_cost,billing_decision_cost,billing_embedding_cost,billing_retriever_cost,billing_generation_cost,billing_decision_input_tokens,billing_decision_output_tokens,billing_generation_input_tokens,billing_generation_output_tokens,billing_total_tokens
HackerRank,Test Active in the system,I notice that people I assigned the test in October of 2025 have not received new tests. How long do the tests stay active in the system.,"Hi,


Tests in HackerRank remain active indefinitely unless a start and end time are set. 
Without these, tests do not expire automatically.



To set expiration times, specify a start and end date/time in the test settings. After expiration:

Invited candidates cannot access the test.
The ""Invite"" button is disabled; no new invitations can be sent.


To check or change expiration settings:

Go to the test's Settings and select the General section.
Update the Start date & time and End date & time fields as needed.
To keep the test active indefinitely, clear these fields by clicking the clear icon (X).


If the test has an expiration set, adjust these settings to enable new invitations.","By default, test invitations remain active indefinitely unless an expiry date is set. You can define how long a test invitation remains active by setting an expiry date. After the expiry time, the test invitation expires, and candidates can no longer take the test. Invited candidates cannot access the test, the 'Invite' button is disabled, and you cannot invite new candidates. To set an expiration date, click the 'Expiry' dropdown and select an option. If you choose 'Custom', select the expiry date, time, and time zone, and then click 'Save.'

Please refer to this support article for the detailed steps : https://support.hackerrank.com/articles/6027855406-inviting-candidates-to-a-test",openai_gpt-5_hybrid_none_10,product_issue,product_issue,1,screen,screen,1,Replied,Replied,1,True,How long do tests remain active in the system for users assigned in October 2025?,Test active duration in the system,"The user is asking a question about the duration tests remain active in the HackerRank system, which requires documentation retrieval.",0.95,12.478383000008762,10,0.0,0.0,0.0,0.0,0.0,0.01689,0.0,0.0,2e-05,0.01687,0,0,4988,220,5208
None,,site is down & none of the pages are accessible,Escalate to a human,Escalate to a human,openai_gpt-5_hybrid_none_10,bug,bug,1,,,1,Escalated,Escalated,1,False,site is down & none of the pages are accessible,,Unsupported company: None.,1.0,2.716181800002232,0,,,,,,0.00775,0.0,0.0,0.0,0.00775,0,0,2540,70,2610
HackerRank,"When should I create a variant versus
 have a different test?","I'm noticing that you all have many default versions of roles. (e.g. front end developer for react, angular, vue.js, etc.) What do you consider best practice 
for when to create a new test versus create a variant of the test? What are the advantages and disadvantages of using variants?","Hi,


Consider these guidelines when choosing between creating a new test or a variant:



When to Use Test Variants:

Create variants to adapt a single test to different candidate profiles, 
such as roles with different tech stacks (React, Angular, Vue.js).
Variants streamline assessments by showing candidates only relevant sections and generating role-specific reports.


Advantages of Test Variants:

Reduces the need to manage multiple tests, improving efficiency.
Decreases maintenance while allowing scalable personalization.
Ensures candidates are tested on relevant content.


Disadvantages and Limitations of Test Variants:

A test must have at least two variants to function; you cannot delete a variant if only two exist.
Variants without logic are hidden from candidates until logic is added.","Test variants allow you to create multiple variations of a single test. This is useful for assessing candidates working with different tech stacks, such as Node.js, Python, or Java, using one streamlined test setup. Candidates will only see the sections relevant to them, and reports will reflect only the variant they attempted, providing clean, role-specific insights.

**When to Use Test Variants:**
* To assess candidates working with different tech stacks within a single, streamlined test setup.
* To personalize assessments at scale.

**Advantages of Test Variants:**
* Reduces maintenance overhead.
* Provides flexibility to personalize assessments.
* Delivers the correct test variation based on candidate input at login.
* Ensures insights remain clean, role-specific, and easy to evaluate.

**Disadvantages and Limitations of Test Variants:**
* A variant-based test requires at least two variants.
* You can add skill-based questions or reuse existing sections directly from the empty variant screen.

For more information, please refer to this support article: https://support.hackerrank.com/articles/7530103378-test-variants",openai_gpt-5_hybrid_none_10,product_issue,product_issue,1,screen,screen,1,Replied,Replied,1,True,"Customer is asking for best practices on when to create a new test versus create a variant of the test, and the advantages and disadvantages of using variants. They noticed many default versions of roles on HackerRank.",When to create a variant versus a different test,"Customer is asking for best practices on creating new tests versus variants in HackerRank, and the advantages/disadvantages of using variants. This requires product-specific documentation.",0.95,11.058306299994001,4,0.0,0.0,0.0,0.0,0.0,0.012555,0.0,0.0,2e-05,0.012535000000000001,0,0,3382,204,3586
HackerRank,"How to reinvite candidate to Hackerrank 
assessment and add extra time","Hi there

We have sent a candidate a Hackerrank assessment already, but we have been informed that they require extra time. As the assessment is 105 minutes, they need an extra 50% extra time added (so around 53 minutes) in addition.

Please can you provide step-by-step instruction on how we are to reinvite them.

Do we find their profile in 'Candidates' , put in Add time 53 minutes and then click 'reinvite' and send the email? The email to the candidate says 105 minutes as the duration though still so not sure how we can check?

Thanks","Log in to your HackerRank for Work account using your credentials.
Go to the Tests tab. 
Select the test you want to modify.
Go to the Candidates tab.
Select the checkbox next to the candidate(s) you want to accommodate time.
Click More > Add Time Accommodation. 
Enter the accommodation percentage in multiples of five.
Click Save. A success message appears.

Time accommodation can also be added before the invite has been sent. Please refer to this support article for the detailed steps : https://support.hackerrank.com/articles/4811403281-adding-extra-time-for-candidates","To add extra time for a candidate, please follow these steps:

1. Log in to your HackerRank for Work account.
2. Navigate to the **Tests** tab and select the relevant test.
3. Go to the **Candidates** tab.
4. Select the checkbox next to the candidate(s) you wish to provide additional time to.
5. Click **More > Add Time**.
6. Enter the additional time in minutes (e.g., 53 minutes).
7. Click **Confirm**.

If the candidate is actively taking the test, they will need to refresh the page to see the updated timer. If they have already completed the test, they must log in again to view the added time.

If a candidate needs to retake a test, you can reinvite them at any time without needing to delete the previous invite or attempt. The email to the candidate will reflect the updated duration after time has been added.

For variant-based tests, you can add extra time at the section level for candidates. Select candidates from the same test variant to enable the 'Add time' option. If candidates are from different variants, the option will be disabled, and you will need to filter the candidate list to a single variant.",openai_gpt-5_hybrid_none_10,product_issue,product_issue,1,screen,screen,1,Replied,Replied,1,True,"Customer needs step-by-step instructions on how to reinvite a candidate to a HackerRank assessment and add extra time (50% more, approximately 53 minutes). They are unsure if the process involves finding the candidate, adding time, reinviting, and how to verify the updated duration shown in the email.",How to reinvite candidate to HackerRank assessment and add extra time,Customer is asking for a how-to guide on modifying assessment time and reinviting a candidate on HackerRank.,0.95,13.009918700001435,6,0.0,0.0,0.0,0.0,0.0,0.017702500000000003,0.0,0.0,2e-05,0.017682500000000004,0,0,4505,321,4826
HackerRank,,"i signed up using google login on hackerrank community , so i do not have a separate hackerrank password. please delete my account","To delete your HackerRank account created via Google login, first set a password for your account, as Google login accounts do not have one by default.

Follow these steps to set a password and delete your account:

Go to the HackerRank login page and click ""Forgot your password?""
Enter the email linked to your Google login and follow the instructions to reset and set a new password.
Log in to your HackerRank account using the new password.
Click your profile icon in the top-right corner and select Settings.
Scroll to the Delete Accounts section.
Click Delete Account and follow the prompts, entering your new password to confirm.

Deleting your account will permanently remove all data and cannot be undone.","If you signed up for HackerRank using Google login, you do not have a separate HackerRank password. To delete your account, you must first set a password. You can do this by following the steps in the 'Update or Reset Password' documentation. Once a password is set, you can proceed with deleting your account by logging into the HackerRank Community, navigating to Settings > Account > Delete Accounts, and following the on-screen prompts, which will require you to enter your account password. Please note that account deletion is permanent and cannot be recovered. If you encounter any issues or cannot access your third-party account, please contact HackerRank support at help@hackerrank.com.

https://help.hackerrank.com/articles/1917106962-manage-account-faqs
https://help.hackerrank.com/articles/5618101592-delete-an-account
https://help.hackerrank.com/articles/2403570133-update-or-reset-password",openai_gpt-5_hybrid_none_10,product_issue,product_issue,1,community,community,1,Replied,Replied,1,True,"request to delete HackerRank account created via Google login, as no separate password exists",account deletion request,"User is requesting account deletion for HackerRank, which requires specific procedures or documentation.",0.9,12.781831900007091,10,0.0,0.0,0.0,0.0,0.0,0.018694999999999996,0.0,0.0,2e-05,0.018674999999999997,0,0,5174,287,5461
Claude,,"One of my claude conversations has some private info, i forgot to make a temporary chat, is there anything
 else that can be done? like delete etc?","To delete an individual conversation:

1. Navigate to the conversation you want to delete.

2. Click on the name of the conversation at the top of the screen.

3. Select either ""Delete"" from the options that appear:



https://privacy.claude.com/en/articles/11117329-how-can-i-delete-or-rename-a-conversation","You can delete conversations in Claude by navigating to your chat history, checking the selection box next to the conversations you wish to delete, and then clicking the ""Delete Selected"" button. Please note that once an incognito chat is closed, it cannot be reopened or saved to your history. There is no way to convert an incognito chat to a regular chat. For commercial products, please refer to the documentation on deleting conversations. If you are encountering issues deleting your Console organization, you may need to contact support as it cannot be deleted via the self-service pathway. For more detailed instructions, please refer to this support article: https://support.claude.com/en/articles/8230524-how-can-i-delete-or-rename-a-conversation",openai_gpt-5_hybrid_none_10,product_issue,product_issue,1,privacy,claude,0,Replied,Replied,1,True,customer wants to know how to delete private information from a claude conversation because they forgot to make a temporary chat.,claude conversation privacy,Customer is asking how to delete private information from a Claude conversation.,0.95,9.935565299994778,9,0.0,0.0,0.0,0.0,0.0,0.0146875,0.0,0.0,2e-05,0.0146675,0,0,4539,166,4705
None,"Urgent, please help",What is the name of the actor in Iron Man?,"I am sorry, this is out of scope from my capabilities","I am sorry, this is out of scope from my capabilities",openai_gpt-5_hybrid_none_10,invalid,invalid,1,conversation_management,conversation_management,1,Replied,Replied,1,False,What is the name of the actor in Iron Man?,"Urgent, please help",Unsupported company: None.,1.0,2.765033899981063,0,,,,,,0.00802,0.0,0.0,0.0,0.00802,0,0,2544,83,2627
Visa,,I bought Visa Traveller's Cheques from Citicorp and they were stolen in Lisbon last night. What do I do?,"Call the issuer (Citicorp) immediately. 
Freephone 1-800-645-6556 or collect 1-813-623-1709, Mon–Fri 6:30 am–2:30 pm EST. 

Automated cheque verification is available 24/7 in English/Spanish; outside Citicorp's hours your call is recorded and returned the next business day.

Have this info ready before you call, it's what the issuer will ask: cheque serial numbers, where and when you bought the cheques, how/when they were lost or stolen, and the issuer name (Citicorp). 

Refunds can typically be arranged within 24 hours, subject to T&Cs.
Notify the local police in Lisbon (Visa's safety guidance for lost/stolen cheques).
If you can't reach Citicorp, use Visa's traveller's-cheque contact form on visa.co.in.","If your Visa Traveller's Cheques were stolen, you should contact Citicorp, the issuer, to report the loss and arrange for a refund. To facilitate this, you will need to provide the cheque serial numbers, where and when you bought them, and details about how and when you believe they were lost or stolen. Refunds can typically be arranged within 24 hours, subject to terms and conditions. If you cannot find the issuing bank's contact details, you can call Visa for assistance.

Please refer to this support article for the detailed steps : https://www.visa.co.in/support/consumer/travelers-cheques.html",openai_gpt-5_hybrid_none_10,product_issue,product_issue,1,travel_support,travel_support,1,Replied,Replied,1,True,What do I do after my Visa Traveller's Cheques were stolen?,Stolen Visa Traveller's Cheques,Customer is asking for a procedure to follow after their Visa Traveller's Cheques were stolen.,0.95,11.281763599981787,6,0.0,0.0,0.0,0.0,0.0,0.014464999999999999,0.0,0.0,2e-05,0.014445,0,0,4194,198,4392
Visa,Card stolen,Where can I report a lost or stolen Visa card from India?,"Call Visa India at 000-800-100-1219 to report a lost card. 

From anywhere else in the world, Visa's Global Customer Assistance Service is reachable 24/7 at +1 303 967 1090 and can block your card within ~30 minutes of being reported, plus arrange emergency cash and a replacement card","To report a lost or stolen Visa card, please visit the [Lost or Stolen card](/support/consumer/lost-stolen-card.html) page. Our support team is available to assist you at any time with reporting and blocking your card, and can look into providing emergency services if applicable. You can also call us for assistance with lost or stolen credit cards. For travel, you can report lost or stolen Visa cards and request emergency services by calling the Visa Global Customer Assistance Services (GCAS) number for the country you are travelling to. Please refer to this support article for more details: https://www.visa.co.in/support.html",openai_gpt-5_hybrid_none_10,product_issue,product_issue,1,general_support,general_support,1,Replied,Replied,1,True,Where can I report a lost or stolen Visa card from India?,Card stolen,Customer is asking for a procedure related to a Visa product.,0.95,10.212242099980358,6,0.0,0.0,0.0,0.0,0.0,0.0134225,0.0,0.0,2e-05,0.013402500000000001,0,0,3713,206,3919
None,,Thank you for helping me,Happy to help,Happy to help,openai_gpt-5_hybrid_none_10,invalid,invalid,1,,,1,Replied,Replied,1,False,Thank you for helping me,,Unsupported company: None.,1.0,2.6412647000106517,0,,,,,,0.007837499999999999,0.0,0.0,0.0,0.007837499999999999,0,0,2535,75,2610
