Issue,Subject,Company,Response,Product Area,Status,Request Type
I notice that people I assigned the test in October of 2025 have not received new tests. How long do the tests stay active in the system.,Test Active in the system,HackerRank,"By default, test invitations remain active indefinitely unless an expiry date is set. You can define how long a test invitation remains active by setting an expiry date. After the expiry time, the test invitation expires, and candidates can no longer take the test. Invited candidates cannot access the test, the 'Invite' button is disabled, and you cannot invite new candidates. You can set a custom expiration date, time, and time zone by selecting 'Custom' from the Expiry dropdown. Alternatively, you can define a start and end time, including the time zone, to control when a test remains active. Candidates can only attempt the test during this active period.",screen,replied,product_issue
site is down & none of the pages are accessible,,None,"We understand that the HackerRank platform is currently inaccessible and none of the pages are accessible. According to our maintenance schedule, the HackerRank platform may be inaccessible for approximately one hour, with all platform services resuming immediately after the maintenance window. If this issue persists beyond a scheduled maintenance window, please refer to the HackerRank status page for any known service disruptions or maintenance activities: https://status.hackerrank.com/",general_help,replied,product_issue
"I'm noticing that you all have many default versions of roles. (e.g. front end developer for react, angular, vue.js, etc.) What do you consider best practice 
for when to create a new test versus create a variant of the test? What are the advantages and disadvantages of using variants?","When should I create a variant versus
 have a different test?",HackerRank,"Test variants allow you to create a single assessment that adapts to different candidate profiles, personalizing the evaluation based on roles, skills, or other criteria. This approach eliminates the need to manage separate tests, improves efficiency, and ensures candidates are assessed on the most relevant content. Variants make it easy to assess candidates working with different tech stacks, like Node.js, Python, or Java, using a single, streamlined test setup. Candidates see only the sections relevant to them, and reports reflect just the variant they attempted, so insights stay clean, role-specific, and easy to evaluate. This reduces maintenance overhead while giving you the flexibility to personalize assessments at scale.

Advantages of Test Variants:
*   Streamlined test setup for different tech stacks.
*   Personalized assessments at scale.
*   Reduced maintenance overhead.
*   Clean, role-specific, and easy-to-evaluate insights.

Limitations of Test Variants:
*   A variant-based test requires at least two variants. You cannot delete a variant if only two variants exist.
*   Variants without logic will not be visible to any candidate until you add logic.

For more information, please refer to this support article: https://support.hackerrank.com/articles/7530103378-test-variants",screen,replied,product_issue
"Hi there

We have sent a candidate a Hackerrank assessment already, but we have been informed that they require extra time. As the assessment is 105 minutes, they need an extra 50% extra time added (so around 53 minutes) in addition.

Please can you provide step-by-step instruction on how we are to reinvite them.

Do we find their profile in 'Candidates' , put in Add time 53 minutes and then click 'reinvite' and send the email? The email to the candidate says 105 minutes as the duration though still so not sure how we can check?

Thanks","How to reinvite candidate to Hackerrank 
assessment and add extra time",HackerRank,"You can add extra time to a HackerRank assessment for a candidate. If the candidate has not yet started the test, you can add time accommodation.

To add time accommodation:
1. Log in to your HackerRank for Work account.
2. Navigate to the **Tests** tab and select the test you wish to modify.
3. Go to the **Candidates** tab.
4. Select the checkbox next to the candidate(s) requiring accommodation.
5. Click **More > Add Time Accommodation**.
6. Enter the accommodation percentage. You can choose from 25%, 50%, 75%, or 100%, or select **Custom** to enter a specific percentage in multiples of five.
7. Click **Save**.

After applying time accommodation, the updated duration will be reflected in the test invite email and on the test landing page before the candidate begins the test. If the candidate is actively taking the test, they will need to refresh the page to see the updated timer. If they have already completed the test, they must log in again to view the added time.

For DevOps questions, if a test has ended or been submitted, you cannot add time. In such cases, you must re-invite the candidate to take the test as a new attempt. Please refer to this support article for the detailed steps: https://support.hackerrank.com/articles/4811403281-adding-extra-time-for-candidates",screen,replied,product_issue
"i signed up using google login on hackerrank community , so i do not have a separate hackerrank password. please delete my account
",,HackerRank,"If you signed up for HackerRank using your Google account, you do not have a separate HackerRank password. To delete your account, you must first set a password. You can do this by following the steps in the ""Resetting password"" documentation. Once a password is set, you can proceed with deleting your account by logging into the HackerRank Community, navigating to Settings > Account > Delete Accounts, and following the prompts. Please note that account deletion is permanent and cannot be recovered. If you encounter any issues or cannot access your third-party account, please contact HackerRank support at help@hackerrank.com.",account_settings,replied,product_issue
"One of my claude conversations has some private info, i forgot to make a temporary chat, is there anything
 else that can be done? like delete etc?",,Claude,"You can delete individual conversations by navigating to the conversation, clicking its name at the top of the screen, and selecting 'Delete'. You can also delete multiple conversations at once by going to your chat history, checking the selection box next to each conversation you wish to delete, and then clicking 'Delete Selected'. Incognito chats are temporary and not saved to your history, and cannot be converted to regular chats or reopened once closed.",claude,replied,product_issue
What is the name of the actor in Iron Man?,"Urgent, please help",None ,"I cannot answer your question about the actor in Iron Man as it is outside the scope of HackerRank, Claude, and Visa support. My purpose is to assist with inquiries related to these platforms.",general_help,replied,invalid
I bought Visa Traveller's Cheques from Citicorp and they were stolen in Lisbon last night. What do I do?,,Visa,"If your Visa Traveller's Cheques have been stolen, you should notify the police. To arrange for a refund, you will need to provide the cheque serial numbers, where and when you bought them, and how and when you believe they were lost or stolen. The issuer of the traveller's cheques will typically arrange a refund within 24 hours, provided certain terms and conditions are met.

For Citicorp Visa Traveller's Cheques, you can contact them for assistance:
- Freephone: 1-800-645-6556
- Collect: 1-813-623-1709
- Monday-Friday, 6:30 am to 2:30 pm EST
Automated cheque verification is available 24 hours a day, 7 days a week. If you need to speak to a customer service representative outside of these hours, your call will be recorded and responded to the next business day.

Please refer to this support article for more details: https://www.visa.co.in/support/consumer/travelers-cheques.html",consumer,replied,product_issue
Where can I report a lost or stolen Visa card from India?,Card stolen,Visa,"If your Visa card has been lost or stolen, you can report it by visiting the [Lost or Stolen card](/support/consumer/lost-stolen-card.html) page on the Visa website. Alternatively, you can report a lost card by calling Visa at 000-800-100-1219. The support team can assist with reporting and blocking your card, and may be able to provide emergency services if applicable. For lost or stolen credit cards, you can also call Visa for assistance.

If your card is lost, stolen, damaged, or compromised while you are traveling, Visa will work with your financial institution to expedite the delivery of an emergency card, usually within 1 to 3 days. You can call the USA freephone number (+1 800 847 2911) or use one of the global freephone numbers. Please refer to this support article for the detailed steps : https://www.visa.co.in/support.html",data,replied,product_issue
Thank you for helping me,,None,"Thank you for reaching out. This request is outside the scope of what I can assist with. Please let me know if you have any questions about HackerRank, Claude, or Visa.",general_help,replied,invalid
