company,subject,issue,request_type_accuracy,status_accuracy,product_area_accuracy,answer_correctness,faithfulness,judge_reasoning,latency,num_chunks,token_estimate
HackerRank,Test Active in the system,I notice that people I assigned the test in October of 2025 have not received new tests. How long do the tests stay active in the system.,1,1,1,0.8,0.8,"The generated answer accurately states that tests remain active indefinitely by default unless an expiry date is set, and it explains how to set an expiry. However, it lacks some details about the consequences of setting an expiry, such as the inability to invite new candidates after expiration.",8.454125881195068,5,663
nan,nan,site is down & none of the pages are accessible,1,1,0,1.0,1.0,"The generated answer 'Escalate to a human' is a direct and accurate response to the situation where the site is down and none of the pages are accessible, aligning perfectly with the ground truth.",4.528190851211548,0,0
HackerRank,"When should I create a variant versus
 have a different test?","I'm noticing that you all have many default versions of roles. (e.g. front end developer for react, angular, vue.js, etc.) What do you consider best practice 
for when to create a new test versus create a variant of the test? What are the advantages and disadvantages of using variants?",0,1,0,0.0,0.0,"The generated answer does not address the question about best practices for creating tests versus variants, nor does it provide any relevant information from the ground truth. It is completely off-topic.",3.8344600200653076,4,693
HackerRank,"How to reinvite candidate to Hackerrank 
assessment and add extra time","Hi there

We have sent a candidate a Hackerrank assessment already, but we have been informed that they require extra time. As the assessment is 105 minutes, they need an extra 50% extra time added (so around 53 minutes) in addition.

Please can you provide step-by-step instruction on how we are to reinvite them.

Do we find their profile in 'Candidates' , put in Add time 53 minutes and then click 'reinvite' and send the email? The email to the candidate says 105 minutes as the duration though still so not sure how we can check?

Thanks",1,1,1,0.8,0.8,"The generated answer provides a mostly accurate step-by-step guide for reinviting a candidate and adding extra time. However, it incorrectly states to click 'More > Add Time' instead of 'More > Add Time Accommodation' for adding the specified time, which is a minor but important detail.",8.012715101242065,5,1129
HackerRank,nan,"i signed up using google login on hackerrank community , so i do not have a separate hackerrank password. please delete my account",1,1,1,1.0,1.0,"The generated answer accurately reflects the necessary steps to set a password and delete the HackerRank account created via Google login, aligning perfectly with the ground truth.",7.567034006118774,5,887
Claude,nan,"One of my claude conversations has some private info, i forgot to make a temporary chat, is there anything
 else that can be done? like delete etc?",1,1,1,0.8,0.8,"The generated answer provides a correct method for deleting a conversation, but it lacks the specific instruction for deleting an individual conversation as mentioned in the ground truth. It also does not mention the option to delete conversations by clicking on the conversation name, which is part of the ground truth.",5.250056266784668,5,738
None,"Urgent, please help",What is the name of the actor in Iron Man?,1,1,1,0.0,0.0,"The response does not provide any information about the actor in Iron Man, which is a direct factual question. Instead, it states that the question is out of scope, making it completely unhelpful and incorrect.",4.716943740844727,5,1412
Visa,nan,I bought Visa Traveller's Cheques from Citicorp and they were stolen in Lisbon last night. What do I do?,1,1,1,1.0,1.0,"The generated answer accurately provides the necessary steps to report the theft of Visa Traveller's Cheques, including the correct contact information for Citicorp, the availability of customer service, and the information needed for the call. It aligns well with the ground truth.",6.431167840957642,5,980
Visa,Card stolen,Where can I report a lost or stolen Visa card from India?,1,1,1,0.6,0.6,"The generated answer provides a general direction to report a lost or stolen Visa card but fails to include the specific contact number for Visa India (000-800-100-1219) and the global assistance number (+1 303 967 1090), which are crucial for accurate reporting.",4.73361611366272,5,654
nan,nan,Thank you for helping me,1,1,0,1.0,1.0,"The generated answer matches the ground truth perfectly, demonstrating complete faithfulness.",3.381727933883667,0,0
